Frame,Time,Top_X,Top_Y,Top_Z,Pendulum_X,Pendulum_Y,Pendulum_Z
1126,9.383333,-0.001851,1.021824,0.02468,0.600741,0.837022,0.096005
1127,9.391667,-0.00187,1.021833,0.024677,0.603388,0.847713,0.096085
1128,9.4,-0.001883,1.021841,0.024667,0.60582,0.857576,0.096117
1129,9.408333,-0.001897,1.021853,0.02467,0.607718,0.867236,0.09656
1130,9.416667,-0.001922,1.021846,0.024669,0.60967,0.876675,0.096673
1131,9.425,-0.001952,1.021851,0.024661,0.611286,0.884979,0.096719
1132,9.433333,-0.001979,1.02185,0.024665,0.612469,0.89261,0.096679
1133,9.441667,-0.002008,1.02186,0.024667,0.613601,0.899647,0.096965
1134,9.45,-0.002061,1.021862,0.024708,0.614357,0.905927,0.096949
1135,9.458333,-0.002164,1.021859,0.024637,0.615052,0.911507,0.096984
1136,9.466667,-0.002218,1.021864,0.024595,0.61558,0.91637,0.097101
1137,9.475,-0.002234,1.021853,0.024644,0.615794,0.920555,0.097011
1138,9.483333,-0.002278,1.021874,0.024594,0.615921,0.924113,0.097092
1139,9.491667,-0.002312,1.021884,0.024549,0.616089,0.92692,0.097136
1140,9.5,-0.002401,1.021822,0.024522,0.616155,0.92902,0.097366
1141,9.508333,-0.002452,1.021732,0.02457,0.615979,0.930516,0.097359
1142,9.516667,-0.002452,1.021731,0.02457,0.615739,0.931231,0.097214
1143,9.525,-0.002401,1.021815,0.024548,0.615445,0.931352,0.09729
1144,9.533333,-0.002471,1.021772,0.024471,0.615141,0.930824,0.09727
1145,9.541667,-0.002468,1.02178,0.024467,0.614562,0.929585,0.097187
1146,9.55,-0.00247,1.021777,0.024476,0.614219,0.927689,0.09743
1147,9.558333,-0.002458,1.021758,0.024515,0.613863,0.925457,0.09735
1148,9.566667,-0.002464,1.021763,0.024521,0.613043,0.921854,0.097219
1149,9.575,-0.002482,1.021781,0.024477,0.612296,0.918006,0.097131
1150,9.583333,-0.002496,1.02177,0.024481,0.611947,0.913712,0.0972
1151,9.591667,-0.002495,1.021774,0.024482,0.611117,0.908274,0.097227
1152,9.6,-0.002501,1.021774,0.024484,0.610263,0.902391,0.097084
1153,9.608333,-0.002476,1.021751,0.024518,0.609128,0.895279,0.097147
1154,9.616667,-0.002447,1.021744,0.024572,0.608167,0.888216,0.097031
1155,9.625,-0.00228,1.021874,0.024656,0.607147,0.8801,0.097266
1156,9.633333,-0.00223,1.021867,0.024659,0.605388,0.870442,0.096994
1157,9.641667,-0.002076,1.021876,0.024724,0.60392,0.86074,0.097214
1158,9.65,-0.00194,1.021884,0.024681,0.602267,0.850672,0.097386
1159,9.658333,-0.001794,1.021896,0.02468,0.600064,0.839501,0.097445
1160,9.666667,-0.001593,1.021858,0.024652,0.597175,0.827355,0.097659
1161,9.675,-0.001466,1.021849,0.02465,0.593455,0.814095,0.097697
1162,9.683333,-0.001324,1.021862,0.024716,0.58922,0.801063,0.097855
1163,9.691667,-0.001214,1.021866,0.024772,0.583701,0.786997,0.097047
1164,9.7,-0.001335,1.021741,0.024747,0.577389,0.772879,0.096667
1165,9.708333,-0.001439,1.021765,0.024729,0.571445,0.759134,0.095935
1166,9.716667,-0.00154,1.021794,0.024681,0.565101,0.74536,0.095126
1167,9.725,-0.001535,1.021759,0.024741,0.558537,0.731365,0.094416
1168,9.733333,-0.001523,1.021733,0.02473,0.551282,0.716939,0.093184
1169,9.741667,-0.00143,1.021694,0.024758,0.543401,0.702481,0.092059
1170,9.75,-0.001385,1.021676,0.024746,0.534961,0.687244,0.090731
1171,9.758333,-0.001331,1.021667,0.024733,0.525536,0.671831,0.089407
1172,9.766667,-0.001269,1.02165,0.024805,0.51512,0.656105,0.088237
1173,9.775,-0.001304,1.021627,0.024814,0.50367,0.639903,0.087234
1174,9.783333,-0.0014,1.02162,0.024754,0.491325,0.623357,0.086276
1175,9.791667,-0.001301,1.021635,0.024837,0.478072,0.606312,0.084952
1176,9.8,-0.001183,1.021541,0.024908,0.463798,0.590092,0.084835
1177,9.808333,-0.00105,1.021465,0.024944,0.44948,0.573939,0.083628
1178,9.816667,-0.000916,1.021375,0.024933,0.433652,0.557357,0.081651
1179,9.825,-0.000867,1.021318,0.024983,0.417328,0.54152,0.079537
1180,9.833333,-0.000801,1.021307,0.025055,0.400413,0.526552,0.077171
1181,9.841667,-0.000949,1.021218,0.025009,0.382555,0.51218,0.074763
1182,9.85,-0.001041,1.021197,0.025018,0.363548,0.497823,0.072025
1183,9.858333,-0.001233,1.02115,0.02503,0.343865,0.484183,0.069582
1184,9.866667,-0.001475,1.021037,0.024938,0.323141,0.470983,0.067416
1185,9.875,-0.001572,1.021001,0.024944,0.301496,0.458301,0.06513
1186,9.883333,-0.001713,1.020891,0.024909,0.278867,0.446016,0.062866
1187,9.891667,-0.001773,1.020842,0.02492,0.257069,0.433955,0.059233
1188,9.9,-0.001809,1.020845,0.024961,0.231748,0.423958,0.057446
1189,9.908333,-0.001838,1.020835,0.024971,0.207386,0.413892,0.054241
1190,9.916667,-0.001868,1.020824,0.024973,0.182517,0.40552,0.050976
1191,9.925,-0.001897,1.020807,0.024978,0.157677,0.398152,0.047659
1192,9.933333,-0.001941,1.020771,0.024994,0.131967,0.391663,0.044443
1193,9.941667,-0.001958,1.020739,0.025003,0.106407,0.385579,0.040246
1194,9.95,-0.001997,1.020663,0.02504,0.079455,0.382047,0.03844
1195,9.958333,-0.002052,1.020646,0.025053,0.052885,0.377896,0.034274
1196,9.966667,-0.002155,1.020633,0.025081,0.02469,0.375837,0.032588
1197,9.975,-0.002262,1.02062,0.025105,-0.002902,0.374818,0.029549
1198,9.983333,-0.002381,1.020598,0.025127,-0.028826,0.374875,0.024152
1199,9.991667,-0.002499,1.020602,0.025154,-0.056273,0.375834,0.021545
1200,10,-0.002647,1.020627,0.025199,-0.083131,0.378235,0.018094
1201,10.008333,-0.002814,1.020613,0.025142,-0.109508,0.381883,0.014766
1202,10.016667,-0.002931,1.020634,0.025191,-0.135721,0.386419,0.011312
1203,10.025,-0.003145,1.020584,0.025074,-0.161416,0.391945,0.008183
1204,10.033333,-0.003191,1.020612,0.025078,-0.186948,0.398672,0.005448
1205,10.041667,-0.003272,1.020663,0.025065,-0.21218,0.405303,0.003124
1206,10.05,-0.003297,1.020676,0.025061,-0.236908,0.413834,0.000325
1207,10.058333,-0.003292,1.020691,0.025057,-0.264006,0.428071,-0.001871
1208,10.066667,-0.003293,1.020712,0.025055,-0.287278,0.43886,-0.004771
1209,10.075,-0.003318,1.020776,0.025016,-0.310526,0.450305,-0.007831
1210,10.083333,-0.003391,1.020933,0.024937,-0.331946,0.462118,-0.01075
1211,10.091667,-0.003412,1.020957,0.02493,-0.352624,0.472501,-0.012684
1212,10.1,-0.003454,1.020975,0.024931,-0.371295,0.484835,-0.016821
1213,10.108333,-0.003606,1.020985,0.024897,-0.39072,0.498295,-0.019142
1214,10.116667,-0.003641,1.021008,0.024893,-0.409351,0.512989,-0.022082
1215,10.125,-0.003672,1.021048,0.024902,-0.427153,0.527482,-0.024027
1216,10.133333,-0.003765,1.021093,0.02483,-0.44496,0.541428,-0.024726
1217,10.141667,-0.003832,1.021169,0.024836,-0.460434,0.557187,-0.027751
