Format Version,1.21,Take Name,Run_4_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.48.42 AM,Total Frames in Take,6333,Total Exported Frames,6333,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104,Unlabeled:107,Unlabeled:107,Unlabeled:107
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
134,1.116667,-0.047080,0.413496,-0.023674,-0.017975,1.025024,0.021766,1.864890,0.018021,0.351913,,,,,,,,,
135,1.125000,-0.048604,0.413767,-0.024298,-0.017979,1.025017,0.021766,1.864950,0.017995,0.351896,,,,,,,,,
136,1.133333,-0.049793,0.413728,-0.024781,-0.017975,1.025021,0.021769,1.864910,0.018045,0.351920,,,,,,,,,
137,1.141667,-0.051027,0.413868,-0.025160,-0.017983,1.025010,0.021772,1.864905,0.018032,0.351913,,,,,,,,,
138,1.150000,-0.052379,0.413932,-0.025401,-0.017980,1.025020,0.021772,1.865001,0.018000,0.351890,,,,,,,,,
139,1.158333,-0.053658,0.413924,-0.025877,-0.017981,1.025020,0.021776,1.864906,0.018045,0.351919,,,,,,,,,
140,1.166667,-0.054892,0.414127,-0.025927,-0.018002,1.025032,0.021737,1.864943,0.018010,0.351901,,,,,,,,,
141,1.175000,-0.055985,0.414165,-0.026073,-0.017985,1.025013,0.021772,1.864954,0.018022,0.351904,,,,,,,,,
142,1.183333,-0.056927,0.414177,-0.026013,-0.017985,1.025018,0.021772,1.864921,0.018024,0.351908,,,,,,,,,
143,1.191667,-0.058239,0.414259,-0.026029,-0.017973,1.025024,0.021773,1.864816,0.018078,0.351941,,,,,,,,,
144,1.200000,-0.059268,0.414293,-0.026010,-0.017978,1.025025,0.021774,1.864959,0.018011,0.351900,,,,,,,,,
145,1.208333,-0.060175,0.414357,-0.025891,-0.017976,1.025019,0.021770,1.864921,0.018043,0.351912,,,,,,,,,
146,1.216667,-0.061127,0.414384,-0.025675,-0.017933,1.024972,0.021745,1.864953,0.017999,0.351899,,,,,,,,,
147,1.225000,-0.062086,0.414555,-0.025491,-0.017977,1.025019,0.021774,1.864949,0.018025,0.351905,,,,,,,,,
148,1.233333,-0.063079,0.414435,-0.025145,-0.017983,1.025022,0.021765,1.864978,0.018013,0.351898,,,,,,,,,
149,1.241667,-0.063804,0.414363,-0.024809,-0.017981,1.025021,0.021769,1.864949,0.018029,0.351906,,,,,,,,,
150,1.250000,-0.064541,0.414437,-0.024323,-0.017979,1.025015,0.021762,1.864949,0.018018,0.351902,,,,,,,,,
151,1.258333,-0.065272,0.414579,-0.023629,-0.017983,1.025019,0.021770,1.864904,0.018045,0.351916,,,,,,,,,
152,1.266667,-0.065926,0.414547,-0.023235,-0.017931,1.024975,0.021753,1.864941,0.018023,0.351904,,,,,,,,,
153,1.275000,-0.066471,0.414561,-0.022481,-0.017998,1.025036,0.021727,1.864900,0.018028,0.351913,,,,,,,,,
154,1.283333,-0.067108,0.414391,-0.021791,-0.017982,1.025021,0.021782,1.864912,0.018031,0.351913,,,,,,,,,
155,1.291667,-0.067696,0.414371,-0.021016,-0.017981,1.025017,0.021775,1.864884,0.018056,0.351926,,,,,,,,,
156,1.300000,-0.068173,0.414330,-0.020355,-0.017984,1.025008,0.021771,1.864989,0.018003,0.351894,,,,,,,,,
157,1.308333,-0.068718,0.414455,-0.019365,-0.017983,1.025012,0.021778,1.864928,0.018029,0.351911,,,,,,,,,
158,1.316667,-0.069038,0.414423,-0.018467,-0.017989,1.025017,0.021779,1.864942,0.018019,0.351904,,,,,,,,,
159,1.325000,-0.069333,0.414358,-0.017479,-0.017978,1.025012,0.021770,1.864925,0.018026,0.351910,,,,,,,,,
160,1.333333,-0.069550,0.414298,-0.016401,-0.017973,1.025015,0.021768,1.864946,0.018021,0.351907,,,,,,,,,
161,1.341667,-0.069892,0.414400,-0.015390,-0.017981,1.025016,0.021770,1.864889,0.018059,0.351922,,,,,,,,,
162,1.350000,-0.070104,0.414002,-0.014221,-0.017984,1.025017,0.021769,1.864909,0.018031,0.351914,,,,,,,,,
163,1.358333,-0.070490,0.413859,-0.013440,-0.017979,1.025023,0.021767,1.864989,0.017977,0.351885,,,,,,,,,
164,1.366667,-0.070179,0.414225,-0.011929,-0.017980,1.025031,0.021769,1.865003,0.017999,0.351893,,,,,,,,,
165,1.375000,-0.070310,0.413956,-0.010753,-0.017931,1.024980,0.021749,1.864937,0.018027,0.351907,,,,,,,,,
166,1.383333,-0.070240,0.414007,-0.009342,-0.017980,1.025018,0.021765,1.864831,0.018074,0.351940,,,,,,,,,
