Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
800,6.666667,-0.185697,0.535235,-0.361749,-0.000774,1.021121,0.02521
801,6.675,-0.193404,0.527435,-0.348018,-0.000796,1.021107,0.025209
802,6.683333,-0.200948,0.519958,-0.333863,-0.00082,1.021099,0.02522
803,6.691667,-0.208073,0.512594,-0.319116,-0.000924,1.021037,0.025137
804,6.7,-0.215156,0.505276,-0.303816,-0.000852,1.021065,0.025226
805,6.708333,-0.221838,0.498358,-0.288129,-0.000969,1.021013,0.025168
806,6.716667,-0.227886,0.491418,-0.271636,-0.001021,1.020806,0.025212
807,6.725,-0.233781,0.484582,-0.254767,-0.001104,1.020846,0.02524
808,6.733333,-0.239217,0.478193,-0.237358,-0.00101,1.020713,0.025219
809,6.741667,-0.244377,0.472452,-0.219687,-0.001079,1.020751,0.025253
810,6.75,-0.248816,0.466197,-0.201155,-0.001042,1.020675,0.02523
811,6.758333,-0.253133,0.461211,-0.182673,-0.001051,1.020659,0.025237
812,6.766667,-0.257009,0.456015,-0.163636,-0.001038,1.02062,0.025288
813,6.775,-0.260251,0.45136,-0.144158,-0.001047,1.020611,0.025296
814,6.783333,-0.264561,0.444222,-0.122179,-0.001056,1.020587,0.0253
815,6.791667,-0.265246,0.44333,-0.104205,-0.001061,1.020577,0.025313
816,6.8,-0.266405,0.438653,-0.083372,-0.001048,1.020522,0.02536
817,6.808333,-0.267779,0.435967,-0.063188,-0.000961,1.020569,0.025457
818,6.816667,-0.269037,0.433647,-0.042313,-0.001044,1.020438,0.025418
819,6.825,-0.26946,0.431661,-0.021593,-0.001057,1.020426,0.025435
820,6.833333,-0.269479,0.430854,-0.000574,-0.001069,1.020406,0.025434
821,6.841667,-0.268239,0.429381,0.020098,-0.001035,1.020355,0.025469
822,6.85,-0.266874,0.429009,0.041067,-0.001029,1.020334,0.025478
823,6.858333,-0.265606,0.429517,0.062284,-0.000957,1.020395,0.025568
824,6.866667,-0.263249,0.430515,0.08294,-0.000954,1.020383,0.025575
825,6.875,-0.260515,0.431729,0.103556,-0.000903,1.020367,0.025671
826,6.883333,-0.257166,0.433312,0.12407,-0.000889,1.020358,0.025673
827,6.891667,-0.253337,0.435482,0.144416,-0.00088,1.02035,0.025675
828,6.9,-0.249009,0.43789,0.16467,-0.000863,1.020352,0.025682
829,6.908333,-0.244178,0.441147,0.184405,-0.000865,1.020345,0.025679
830,6.916667,-0.239055,0.444851,0.2037,-0.00085,1.020351,0.025686
831,6.925,-0.233395,0.448662,0.222936,-0.000841,1.020357,0.025682
832,6.933333,-0.227389,0.45336,0.241437,-0.000775,1.020302,0.025686
833,6.941667,-0.220751,0.45783,0.260122,-0.000762,1.020306,0.025685
834,6.95,-0.214149,0.462786,0.277821,-0.000752,1.020308,0.025684
835,6.958333,-0.206911,0.468332,0.295057,-0.000659,1.020362,0.025763
836,6.966667,-0.199332,0.474231,0.312002,-0.000653,1.020374,0.02576
837,6.975,-0.191408,0.480383,0.328354,-0.000639,1.02038,0.025759
838,6.983333,-0.182668,0.487006,0.344432,-0.00062,1.020391,0.025755
