Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
255,2.125,-0.009626,0.377068,0.028979,-0.001052,1.02133,0.024714
256,2.133333,-0.009606,0.377082,0.02898,-0.001054,1.02132,0.024704
257,2.141667,-0.009563,0.37707,0.028977,-0.001047,1.021317,0.024707
258,2.15,-0.009493,0.377032,0.029014,-0.001049,1.021308,0.024705
259,2.158333,-0.009463,0.377023,0.029003,-0.001049,1.021314,0.024702
260,2.166667,-0.009436,0.377042,0.029,-0.001051,1.021308,0.0247
261,2.175,-0.0094,0.377056,0.029006,-0.001054,1.021316,0.024708
262,2.183333,-0.009358,0.377073,0.029006,-0.001052,1.02133,0.024702
263,2.191667,-0.009344,0.377072,0.029015,-0.001057,1.021326,0.02471
264,2.2,-0.009286,0.377033,0.028957,-0.001054,1.021324,0.024709
265,2.208333,-0.009258,0.377018,0.028965,-0.001053,1.021319,0.024707
266,2.216667,-0.009229,0.377018,0.028958,-0.001049,1.021315,0.024698
267,2.225,-0.009203,0.377033,0.028973,-0.001052,1.021323,0.024708
268,2.233333,-0.009187,0.377037,0.028969,-0.001046,1.021324,0.024704
269,2.241667,-0.009147,0.377023,0.028967,-0.001048,1.021336,0.024704
270,2.25,-0.009116,0.377028,0.028977,-0.001051,1.021319,0.024706
271,2.258333,-0.009099,0.377013,0.028983,-0.001044,1.021324,0.024712
272,2.266667,-0.009086,0.377005,0.028988,-0.001041,1.021318,0.024704
273,2.275,-0.009055,0.377002,0.028996,-0.001044,1.021313,0.024701
274,2.283333,-0.008971,0.376948,0.029072,-0.001053,1.021313,0.024706
275,2.291667,-0.009005,0.376987,0.029039,-0.001057,1.021321,0.024704
276,2.3,-0.008984,0.376987,0.029033,-0.001052,1.02133,0.024707
277,2.308333,-0.00895,0.376968,0.029088,-0.001058,1.021328,0.024708
278,2.316667,-0.008926,0.376974,0.029112,-0.001055,1.021328,0.024711
279,2.325,-0.008935,0.376958,0.02911,-0.001058,1.021322,0.02471
280,2.333333,-0.008925,0.37696,0.029126,-0.001051,1.021317,0.02471
281,2.341667,-0.008919,0.376959,0.029123,-0.001055,1.021317,0.024701
282,2.35,-0.008918,0.376974,0.029126,-0.001056,1.021325,0.02471
283,2.358333,-0.008942,0.376973,0.029143,-0.001065,1.021322,0.024706
284,2.366667,-0.008938,0.376968,0.029148,-0.001057,1.02132,0.02471
285,2.375,-0.008942,0.376953,0.029171,-0.001066,1.021316,0.024703
286,2.383333,-0.008945,0.376942,0.029185,-0.001053,1.021321,0.02471
287,2.391667,-0.008961,0.376954,0.029191,-0.001042,1.021316,0.024702
288,2.4,-0.008961,0.376954,0.029191,-0.001046,1.021315,0.024705
289,2.408333,-0.00898,0.376977,0.029233,-0.001038,1.021319,0.024708
290,2.416667,-0.008999,0.376968,0.029248,-0.001045,1.021329,0.024706
291,2.425,-0.009022,0.376985,0.029268,-0.001054,1.021318,0.024701
292,2.433333,-0.009038,0.376976,0.029293,-0.001047,1.021325,0.024705
293,2.441667,-0.009033,0.376957,0.029284,-0.001043,1.021325,0.024706
294,2.45,-0.009064,0.376972,0.029315,-0.001041,1.021319,0.024696
295,2.458333,-0.009104,0.376965,0.029336,-0.001047,1.021323,0.024704
296,2.466667,-0.009151,0.377011,0.029332,-0.00107,1.02132,0.024705
297,2.475,-0.009171,0.377014,0.029345,-0.00106,1.021324,0.024707
298,2.483333,-0.009211,0.376996,0.029356,-0.001074,1.021322,0.024708
299,2.491667,-0.009234,0.376977,0.029371,-0.001051,1.021321,0.024709
300,2.5,-0.009267,0.376976,0.029396,-0.001051,1.021314,0.024703
301,2.508333,-0.009285,0.376966,0.029412,-0.001056,1.021316,0.024711
302,2.516667,-0.00929,0.376933,0.029464,-0.001053,1.021317,0.02471
303,2.525,-0.009356,0.37699,0.029438,-0.001061,1.021323,0.02471
304,2.533333,-0.009352,0.376951,0.029498,-0.00106,1.021322,0.024706
305,2.541667,-0.009413,0.376978,0.029464,-0.001052,1.021329,0.024707
306,2.55,-0.009485,0.377001,0.029491,-0.001051,1.02132,0.024706
307,2.558333,-0.009532,0.376994,0.029518,-0.001052,1.021323,0.024705
308,2.566667,-0.009562,0.377007,0.029543,-0.001058,1.02132,0.024706
309,2.575,-0.009548,0.376964,0.029584,-0.001062,1.021327,0.024709
310,2.583333,-0.009634,0.377008,0.029566,-0.001072,1.021322,0.024712
311,2.591667,-0.009673,0.377,0.029579,-0.001064,1.021322,0.02471
312,2.6,-0.00971,0.376981,0.029587,-0.001073,1.02132,0.024705
313,2.608333,-0.009745,0.376974,0.029607,-0.001062,1.021323,0.024706
314,2.616667,-0.00979,0.376954,0.029601,-0.001063,1.021315,0.024708
315,2.625,-0.009815,0.376948,0.029669,-0.001063,1.021323,0.024714
316,2.633333,-0.009858,0.376954,0.02969,-0.001067,1.021314,0.024708
317,2.641667,-0.009896,0.376955,0.0297,-0.00106,1.021323,0.024709
318,2.65,-0.009939,0.376934,0.029713,-0.001056,1.021321,0.024703
319,2.658333,-0.009991,0.37693,0.029728,-0.001044,1.021317,0.024699
320,2.666667,-0.010076,0.376946,0.029713,-0.001042,1.021322,0.0247
321,2.675,-0.010153,0.376978,0.029689,-0.00104,1.021329,0.024705
322,2.683333,-0.010194,0.376988,0.029709,-0.001047,1.02133,0.024701
323,2.691667,-0.010226,0.37699,0.029735,-0.00106,1.021328,0.024705
324,2.7,-0.010273,0.376981,0.029747,-0.00106,1.021325,0.024703
325,2.708333,-0.010284,0.376932,0.029805,-0.001056,1.021324,0.024703
326,2.716667,-0.010409,0.376989,0.029733,-0.001062,1.021325,0.024707
327,2.725,-0.010447,0.376996,0.029745,-0.001056,1.021323,0.024695
328,2.733333,-0.010516,0.377029,0.029767,-0.00107,1.02132,0.024708
329,2.741667,-0.010568,0.377012,0.029781,-0.001069,1.021319,0.024707
330,2.75,-0.010608,0.377004,0.029794,-0.00107,1.021323,0.02471
331,2.758333,-0.010638,0.376974,0.029845,-0.001074,1.021323,0.02471
