Format Version,1.21,Take Name,Run_2_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.46.50 AM,Total Frames in Take,6637,Total Exported Frames,6637,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
151,1.258333,-0.024424,0.412145,0.008847,-0.018143,1.024971,0.021661,1.864969,0.017943,0.351880,,,
152,1.266667,-0.024510,0.412120,0.008443,-0.018150,1.024969,0.021656,1.865086,0.017872,0.351842,,,
153,1.275000,-0.024704,0.412210,0.007985,-0.018139,1.024978,0.021665,1.865068,0.017898,0.351850,,,
154,1.283333,-0.024804,0.412186,0.007616,-0.018060,1.025011,0.021728,1.864531,0.017807,0.351778,,,
155,1.291667,-0.024911,0.412149,0.007239,-0.018131,1.024978,0.021655,1.864560,0.017801,0.351773,,,
156,1.300000,-0.025005,0.412119,0.006893,-0.018065,1.025030,0.021692,1.865084,0.017882,0.351844,,,
157,1.308333,-0.025101,0.412099,0.006615,-0.018042,1.025008,0.021726,1.864902,0.016679,0.351883,,,
158,1.316667,-0.025189,0.412057,0.006419,-0.018057,1.025037,0.021691,1.866185,0.016339,0.351816,,,
159,1.325000,-0.025296,0.412055,0.006109,-0.018028,1.025026,0.021733,1.864999,0.017925,0.351870,,,
160,1.333333,-0.025451,0.412103,0.005869,-0.018021,1.025023,0.021735,1.865100,0.017869,0.351840,,,
161,1.341667,-0.025554,0.412081,0.005716,-0.018030,1.025017,0.021738,1.865075,0.017890,0.351849,,,
162,1.350000,-0.025651,0.412065,0.005581,-0.018037,1.025009,0.021742,1.865030,0.017916,0.351863,,,
163,1.358333,-0.025751,0.412049,0.005477,-0.018102,1.024968,0.021707,1.865006,0.017935,0.351872,,,
164,1.366667,-0.025842,0.412035,0.005393,-0.018108,1.024966,0.021706,1.865034,0.017903,0.351856,,,
165,1.375000,-0.025936,0.412028,0.005329,-0.018072,1.025034,0.021698,1.864988,0.017924,0.351872,,,
166,1.383333,-0.026071,0.412068,0.005305,-0.018119,1.024978,0.021703,1.864994,0.017937,0.351875,,,
167,1.391667,-0.026161,0.412057,0.005287,-0.018143,1.024987,0.021654,1.864959,0.017960,0.351884,,,
168,1.400000,-0.026248,0.412052,0.005305,-0.018067,1.025023,0.021738,1.865028,0.017918,0.351862,,,
169,1.408333,-0.026329,0.412044,0.005331,-0.018135,1.024990,0.021658,1.864600,0.017758,0.351756,,,
170,1.416667,-0.026450,0.412070,0.005365,-0.018071,1.025038,0.021697,1.864972,0.017937,0.351879,,,
171,1.425000,-0.026599,0.412144,0.005478,-0.018062,1.025044,0.021692,1.865070,0.017897,0.351850,,,
172,1.433333,-0.026682,0.412139,0.005574,-0.018113,1.024987,0.021656,1.864514,0.017807,0.351784,,,
173,1.441667,-0.026765,0.412124,0.005684,-0.018036,1.025037,0.021734,1.864578,0.017788,0.351765,,,
174,1.450000,-0.026879,0.412149,0.005811,-0.018029,1.025038,0.021734,1.864983,0.017952,0.351878,,,
175,1.458333,-0.026986,0.412178,0.005947,-0.018026,1.025031,0.021741,1.864528,0.017810,0.351780,,,
176,1.466667,-0.027048,0.412169,0.006103,-0.018024,1.025028,0.021739,1.864527,0.017798,0.351777,,,
177,1.475000,-0.027074,0.412128,0.006343,-0.018024,1.025025,0.021748,1.865046,0.017903,0.351856,,,
178,1.483333,-0.027107,0.412065,0.006720,-0.018034,1.025018,0.021750,1.864514,0.017820,0.351785,,,
179,1.491667,-0.027115,0.412028,0.007005,-0.018033,1.025030,0.021750,1.864457,0.017854,0.351803,,,
180,1.500000,-0.027185,0.412028,0.007382,-0.018053,1.025037,0.021716,1.864519,0.017809,0.351780,,,
181,1.508333,-0.027283,0.412059,0.007864,-0.018048,1.025023,0.021752,1.864980,0.017946,0.351877,,,
182,1.516667,-0.027321,0.412068,0.008197,-0.018044,1.025022,0.021746,1.865067,0.017892,0.351852,,,
183,1.525000,-0.027351,0.412091,0.008509,-0.018133,1.024990,0.021672,1.864445,0.017849,0.351804,,,
184,1.533333,-0.027366,0.412069,0.008886,-0.018117,1.024980,0.021712,1.864634,0.017743,0.351745,,,
185,1.541667,-0.027422,0.412080,0.009397,-0.018132,1.024990,0.021674,1.865022,0.017930,0.351870,,,
186,1.550000,-0.027516,0.412144,0.009908,-0.018076,1.025048,0.021701,1.865050,0.017885,0.351851,,,
187,1.558333,-0.027512,0.412108,0.010528,-0.018073,1.025046,0.021697,1.864463,0.017829,0.351795,,,
188,1.566667,-0.027531,0.412150,0.010941,-0.018065,1.025050,0.021699,1.864986,0.017954,0.351880,,,
189,1.575000,-0.027574,0.412180,0.011406,-0.018050,1.025048,0.021701,1.865091,0.017880,0.351843,,,
190,1.583333,-0.027574,0.412152,0.012078,-0.018043,1.025036,0.021746,1.865031,0.017921,0.351862,,,
191,1.591667,-0.027626,0.412150,0.012748,-0.018049,1.025049,0.021709,1.864520,0.017795,0.351779,,,
192,1.600000,-0.027596,0.412106,0.013345,-0.018092,1.024982,0.021712,1.864990,0.017938,0.351876,,,
193,1.608333,-0.027618,0.412131,0.013847,-0.018037,1.025027,0.021754,1.864461,0.017846,0.351800,,,
194,1.616667,-0.027626,0.412111,0.014544,-0.018046,1.025030,0.021752,1.865025,0.017929,0.351868,,,
195,1.625000,-0.027616,0.412080,0.015254,-0.018045,1.025025,0.021759,1.865029,0.017900,0.351859,,,
