Format Version,1.21,Take Name,Run_1_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.45.57 AM,Total Frames in Take,4156,Total Exported Frames,4156,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
137,1.141667,-0.025308,0.412123,0.030912,-0.017985,1.025041,0.021730,1.864692,0.017703,0.351726,,,,,,
138,1.150000,-0.025316,0.412123,0.030914,-0.017978,1.025046,0.021731,1.865121,0.017845,0.351828,,,,,,
139,1.158333,-0.025330,0.412124,0.030911,-0.017989,1.025041,0.021730,1.865073,0.017864,0.351843,,,,,,
140,1.166667,-0.025341,0.412122,0.030910,-0.017983,1.025038,0.021728,1.864598,0.017731,0.351747,,,,,,
141,1.175000,-0.025346,0.412124,0.030910,-0.017986,1.025039,0.021729,1.864646,0.017714,0.351733,,,,,,
142,1.183333,-0.025362,0.412119,0.030902,-0.017985,1.025039,0.021728,1.864633,0.017720,0.351738,,,,,,
143,1.191667,-0.025365,0.412129,0.030902,-0.017978,1.025043,0.021728,1.864580,0.017769,0.351761,,,,,,
144,1.200000,-0.025371,0.412116,0.030898,-0.017984,1.025043,0.021733,1.864683,0.017698,0.351722,,,,,,
145,1.208333,-0.025379,0.412119,0.030898,-0.017983,1.025044,0.021729,1.864634,0.017739,0.351744,,,,,,
146,1.216667,-0.025377,0.412111,0.030891,-0.017984,1.025049,0.021730,1.864675,0.017685,0.351724,,,,,,
147,1.225000,-0.025391,0.412101,0.030931,-0.017988,1.025036,0.021728,1.864615,0.017734,0.351743,,,,,,
148,1.233333,-0.025428,0.412143,0.030946,-0.017985,1.025044,0.021728,1.864663,0.017724,0.351735,,,,,,
149,1.241667,-0.025438,0.412148,0.030896,-0.017980,1.025044,0.021728,1.864558,0.017758,0.351763,,,,,,
150,1.250000,-0.025440,0.412166,0.030844,-0.017999,1.025054,0.021692,1.864588,0.017747,0.351753,,,,,,
151,1.258333,-0.025479,0.412198,0.030870,-0.017998,1.025054,0.021683,1.864616,0.017722,0.351743,,,,,,
152,1.266667,-0.025513,0.412179,0.031118,-0.017981,1.025042,0.021728,1.864597,0.017723,0.351744,,,,,,
153,1.275000,-0.025595,0.412268,0.031212,-0.017982,1.025040,0.021724,1.864572,0.017758,0.351758,,,,,,
154,1.283333,-0.025646,0.412386,0.030886,-0.017985,1.025044,0.021733,1.864554,0.017757,0.351760,,,,,,
155,1.291667,-0.025646,0.412387,0.030874,-0.017979,1.025041,0.021733,1.864596,0.017749,0.351753,,,,,,
156,1.300000,-0.025652,0.412386,0.030857,-0.018003,1.025055,0.021689,1.864600,0.017729,0.351744,,,,,,
157,1.308333,-0.025646,0.412380,0.030848,-0.017988,1.025038,0.021732,1.864590,0.017741,0.351754,,,,,,
158,1.316667,-0.025641,0.412381,0.030831,-0.017986,1.025038,0.021727,1.865152,0.017828,0.351819,,,,,,
159,1.325000,-0.025639,0.412381,0.030816,-0.017981,1.025033,0.021731,1.865082,0.017859,0.351841,,,,,,
160,1.333333,-0.025684,0.412363,0.030744,-0.017979,1.025038,0.021731,1.864543,0.017745,0.351762,,,,,,
161,1.341667,-0.025677,0.412354,0.030728,-0.017985,1.025040,0.021730,1.864533,0.017778,0.351770,,,,,,
162,1.350000,-0.025675,0.412357,0.030703,-0.017984,1.025034,0.021728,1.865014,0.017904,0.351861,,,,,,
163,1.358333,-0.025665,0.412356,0.030688,-0.017980,1.025036,0.021734,1.865054,0.017878,0.351849,,,,,,
164,1.366667,-0.025680,0.412384,0.030630,-0.017975,1.025040,0.021731,1.865109,0.017835,0.351829,,,,,,
165,1.375000,-0.025669,0.412383,0.030613,-0.017972,1.025041,0.021731,1.864514,0.017783,0.351776,,,,,,
166,1.383333,-0.025649,0.412382,0.030584,-0.017976,1.025039,0.021730,1.864559,0.017766,0.351765,,,,,,
167,1.391667,-0.025645,0.412371,0.030572,-0.017979,1.025037,0.021731,1.864509,0.017781,0.351773,,,,,,
168,1.400000,-0.025640,0.412370,0.030545,-0.017981,1.025043,0.021731,1.864573,0.017743,0.351755,,,,,,
169,1.408333,-0.025620,0.412367,0.030522,-0.017980,1.025036,0.021732,1.864545,0.017770,0.351768,,,,,,
170,1.416667,-0.025607,0.412363,0.030501,-0.017980,1.025040,0.021731,1.864658,0.017715,0.351734,,,,,,
171,1.425000,-0.025583,0.412354,0.030474,-0.017976,1.025041,0.021732,1.864991,0.017917,0.351870,,,,,,
172,1.433333,-0.025573,0.412357,0.030457,-0.017975,1.025039,0.021735,1.864569,0.017756,0.351761,,,,,,
173,1.441667,-0.025562,0.412354,0.030428,-0.018039,1.024982,0.021699,1.864610,0.017734,0.351748,,,,,,
174,1.450000,-0.025540,0.412347,0.030403,-0.017975,1.025037,0.021732,1.864616,0.017712,0.351739,,,,,,
175,1.458333,-0.025520,0.412333,0.030386,-0.017972,1.025040,0.021738,1.864519,0.017769,0.351771,,,,,,
176,1.466667,-0.025498,0.412330,0.030359,-0.017975,1.025039,0.021733,1.864574,0.017774,0.351765,,,,,,
177,1.475000,-0.025472,0.412315,0.030327,-0.017974,1.025040,0.021735,1.864583,0.017738,0.351751,,,,,,
178,1.483333,-0.025458,0.412323,0.030305,-0.017977,1.025029,0.021732,1.865090,0.017829,0.351829,,,,,,
179,1.491667,-0.025440,0.412319,0.030278,-0.017975,1.025041,0.021730,1.864559,0.017756,0.351759,,,,,,
180,1.500000,-0.025415,0.412310,0.030250,-0.017978,1.025041,0.021732,1.864638,0.017703,0.351735,,,,,,
181,1.508333,-0.025412,0.412337,0.030190,-0.017978,1.025040,0.021734,1.864532,0.017754,0.351763,,,,,,
182,1.516667,-0.025385,0.412354,0.030156,-0.017978,1.025036,0.021735,1.864588,0.017742,0.351752,,,,,,
